Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Season,Month,Year,Month_Name,Quarter
ORD-1000,2024-08-02,2024-08-03,Same Day,CUST-1520,Customer_16,Consumer,West,West_State_2,Electronics,Phones,Canon Camera,4,1095.87,0.3,3068.44,1320.74,1747.7,Summer,8,2024,August,Q3
ORD-1001,2022-03-24,2022-03-26,Standard Class,CUST-3615,Customer_358,Consumer,Central,Central_State_7,Sports,Equipment,Protein Powder,18,92.93,0.25,1254.56,760.57,493.99,Spring,3,2022,March,Q1
ORD-1002,2022-11-28,2022-12-01,Standard Class,CUST-8527,Customer_275,Consumer,East,East_State_2,Furniture,Sofas,Standing Desk,13,222.54,0.15,2459.07,1503.24,955.83,Autumn,11,2022,November,Q4
ORD-1003,2023-02-15,2023-02-16,First Class,CUST-2307,Customer_438,Home Office,North,North_State_4,Sports,Nutrition,Running Shoes Pro,7,135.69,0.0,949.83,599.76,350.07,Winter,2,2023,February,Q1
ORD-1004,2021-07-26,2021-07-30,Standard Class,CUST-3803,Customer_274,Corporate,West,West_State_4,Office Supplies,Folders,Stapler Set,12,30.71,0.1,331.67,214.14,117.53,Summer,7,2021,July,Q3
ORD-1005,2021-12-01,2021-12-05,Standard Class,CUST-6168,Customer_206,Home Office,West,West_State_5,Clothing,Accessories,Running Shoes,11,208.57,0.0,2294.27,1101.63,1192.64,Winter,12,2021,December,Q4
ORD-1006,2021-05-16,2021-05-18,Second Class,CUST-5040,Customer_382,Home Office,West,West_State_9,Sports,Clothing,Jump Rope,16,89.34,0.25,1072.08,482.44,589.64,Spring,5,2021,May,Q2
ORD-1007,2024-01-09,2024-01-12,Standard Class,CUST-1771,Customer_441,Corporate,South,South_State_2,Sports,Nutrition,Fitness Tracker,8,179.6,0.0,1436.8,830.95,605.85,Winter,1,2024,January,Q1
ORD-1008,2021-11-10,2021-11-16,Standard Class,CUST-2876,Customer_350,Consumer,Central,Central_State_9,Furniture,Shelves,Reception Desk,13,436.21,0.25,4253.05,2488.84,1764.21,Autumn,11,2021,November,Q4
ORD-1009,2022-07-01,2022-07-08,Second Class,CUST-9317,Customer_468,Consumer,South,South_State_2,Office Supplies,Folders,A4 Paper Pack,15,15.24,0.1,205.74,152.28,53.46,Summer,7,2022,July,Q3
ORD-1010,2024-07-04,2024-07-07,First Class,CUST-9005,Customer_10,Corporate,West,West_State_2,Sports,Shoes,Protein Powder,6,110.91,0.3,465.82,336.08,129.74,Summer,7,2024,July,Q3
ORD-1011,2023-01-14,2023-01-21,Second Class,CUST-3103,Customer_338,Home Office,West,West_State_8,Office Supplies,Pens,Ballpoint Pens,3,21.42,0.25,48.2,33.05,15.15,Winter,1,2023,January,Q1
ORD-1012,2024-01-31,2024-02-02,Same Day,CUST-7118,Customer_225,Consumer,South,South_State_9,Office Supplies,Notebooks,Notebooks Bundle,18,71.64,0.05,1225.04,795.7,429.34,Winter,1,2024,January,Q1
ORD-1013,2023-07-14,2023-07-15,Standard Class,CUST-4750,Customer_35,Consumer,North,North_State_1,Furniture,Chairs,Standing Desk,19,565.44,0.05,10206.19,4108.16,6098.03,Summer,7,2023,July,Q3
ORD-1014,2022-11-08,2022-11-09,Same Day,CUST-7669,Customer_98,Consumer,South,South_State_2,Sports,Clothing,Dumbbells Set,18,49.85,0.25,672.98,326.43,346.55,Autumn,11,2022,November,Q4
ORD-1015,2021-07-18,2021-07-24,First Class,CUST-2790,Customer_128,Corporate,South,South_State_4,Clothing,Jackets,Running Shoes,2,174.67,0.0,349.34,147.15,202.19,Summer,7,2021,July,Q3
ORD-1016,2022-01-25,2022-01-30,Standard Class,CUST-1828,Customer_334,Corporate,West,West_State_9,Clothing,Jackets,Formal Trousers,15,89.96,0.0,1349.4,749.05,600.35,Winter,1,2022,January,Q1
ORD-1017,2021-01-31,2021-02-01,Standard Class,CUST-7396,Customer_136,Corporate,South,South_State_8,Furniture,Shelves,Standing Desk,7,798.49,0.0,5589.43,2557.85,3031.58,Winter,1,2021,January,Q1
ORD-1018,2022-08-08,2022-08-12,Standard Class,CUST-6138,Customer_30,Consumer,West,West_State_1,Sports,Accessories,Jump Rope,10,62.66,0.0,626.6,377.66,248.94,Summer,8,2022,August,Q3
ORD-1019,2024-04-11,2024-04-15,Standard Class,CUST-4853,Customer_207,Consumer,West,West_State_2,Sports,Nutrition,Resistance Bands,17,42.02,0.0,714.34,302.87,411.47,Spring,4,2024,April,Q2
ORD-1020,2024-03-12,2024-03-14,First Class,CUST-4346,Customer_343,Consumer,Central,Central_State_6,Sports,Equipment,Protein Powder,14,128.61,0.3,1260.38,643.71,616.67,Spring,3,2024,March,Q1
